"nama_tempat","lat","lng","alamat","kecamatan","kota_kab"
"BCA",-6.9359945,110.4656832,"Trimulyo, Semarang City","Kecamatan Genuk","Kota Semarang"
"BCA - KCP Pedurungan",-7.0075396,110.4611225,"Jl. Majapahit No.360, Palebon, Kota Semarang","Kecamatan Pedurungan","Kota Semarang"
"BCA - KCP Puri Anjasmoro",-6.9632812,110.3911497,"29PR+MFJ, Tawangsari, Semarang City","Kecamatan Semarang Barat","Kota Semarang"
"BCA KCP Banyumanik",-7.0514628,110.4168617,"WCX8+CP9, Srondol Kulon, Semarang City","Kecamatan Banyumanik","Kota Semarang"
"BCA KCP Grajen",-6.9799905,110.4312879,"Jl. MT. Haryono No.337, Jagalan, Kota Semarang","Kecamatan Semarang Tengah","Kota Semarang"
"BCA KCP Majapahit",-6.9984409,110.4423499,"Ruko Majapahit Jl. Majapahit No.112 C, Pandean Lamper, Kota Semarang","Kecamatan Gayamsari","Kota Semarang"
"BCA KCP Ngaliyan",-6.9928551,110.3521573,"Ruko Ngaliyan Square No. 3A, Jl. Raya Ngaliyan, Purwoyoso, Kota Semarang","Kecamatan Ngaliyan","Kota Semarang"
"BCA KCP Tlogosari",-6.9846085,110.4597024,"Jl. Tlogosari Raya II No.30, Tlogosari Kulon, Kota Semarang","Kecamatan Pedurungan","Kota Semarang"
"BCA Kranggan Semarang",-6.974993,110.4246678,"Jl. K.H. Wahid Hasyim No.7, Kauman, Kota Semarang","Kecamatan Semarang Tengah","Kota Semarang"
"BCA LIK Kaligawe",-6.9576329,110.4571636,"2FR4+WVV, Muktiharjo Lor, Semarang City","Kecamatan Genuk","Kota Semarang"
"BCA Sukun",-7.0697703,110.4208789,"Tlp.Cs.082114987542Jl, Jl. Jati Raya No.F16, Pedalangan, Kota Semarang","Kecamatan Banyumanik","Kota Semarang"
"BMT AL-HIKMAH Cabang Gunungpati",-7.0881609,110.3618027,"Jl. Raya Cangkiran-Gunungpati, Gunungpati, Kota Semarang","Kecamatan Gunung Pati","Kota Semarang"
"BNI '46 JATINGALEH",-7.0303572,110.4180248,"KOMPLEX PLN, Jatingaleh, Kota Semarang","Kecamatan Gajahmungkur","Kota Semarang"
"BNI Banyumanik",-7.0699581,110.4191922,"WCJ9+2M8, Srondol Wetan, Semarang City","Kecamatan Banyumanik","Kota Semarang"
"BNI Cabang Karangayu",-6.9814228,110.3936109,"Jl. Jenderal Sudirman No.195, Karangayu, Kota Semarang","Kecamatan Semarang Barat","Kota Semarang"
"BNI Dr Cipto",-6.9825227,110.4353836,"Jalan Dokter Cipto No.128, Sarirejo, Kota Semarang","Kecamatan Semarang Timur","Kota Semarang"
"BNI KCP NGALIYAN",-6.992775,110.35229,"Purwoyoso, Semarang City","Kecamatan Ngaliyan","Kota Semarang"
"BNI KCP Srondol",-7.0494856,110.4187294,"Jl. Setia Budi No.117, Srondol Kulon, Kota Semarang","Kecamatan Banyumanik","Kota Semarang"
